Date,Turnover_sum,Cost_sum,adds,drops,kept
2013-10-31,0.15999999999999992,0.0002399999999999999,16,16,84
2013-11-30,0.18,0.00027,18,18,82
2013-12-31,0.16999999999999998,0.00025499999999999996,17,17,83
2014-01-31,0.14999999999999997,0.00022499999999999997,15,15,85
2014-02-28,0.17999999999999994,0.0002699999999999999,18,18,82
2014-03-31,0.15999999999999998,0.00023999999999999998,16,16,84
2014-04-30,0.13999999999999996,0.00020999999999999995,14,14,86
2014-05-31,0.22000000000000003,0.00033000000000000005,22,22,78
2014-06-30,0.21999999999999992,0.0003299999999999999,22,22,78
2014-07-31,0.18999999999999992,0.0002849999999999999,19,19,81
2014-08-31,0.22999999999999995,0.00034499999999999993,23,23,77
2014-09-30,0.20999999999999996,0.00031499999999999996,21,21,79
2014-10-31,0.18999999999999995,0.00028499999999999993,19,19,81
2014-11-30,0.32999999999999996,0.000495,33,33,67
2014-12-31,0.24000000000000005,0.0003600000000000001,24,24,76
2015-01-31,0.18999999999999995,0.00028499999999999993,19,19,81
2015-02-28,0.23000000000000004,0.00034500000000000004,23,23,77
2015-03-31,0.33999999999999997,0.0005099999999999999,34,34,66
2015-04-30,0.21999999999999997,0.00032999999999999994,22,22,78
2015-05-31,0.29,0.000435,29,29,71
2015-06-30,0.21000000000000002,0.000315,21,21,79
2015-07-31,0.16999999999999998,0.00025499999999999996,17,17,83
2015-08-31,0.16,0.00024,16,16,84
2015-09-30,0.12000000000000002,0.00018000000000000004,12,12,88
2015-10-31,0.19999999999999996,0.0002999999999999999,20,20,80
2015-11-30,0.18,0.00027,18,18,82
2015-12-31,0.18999999999999997,0.000285,19,19,81
2016-01-31,0.19000000000000003,0.00028500000000000004,19,19,81
2016-02-29,0.24,0.00035999999999999997,24,24,76
2016-03-31,0.23999999999999996,0.00035999999999999997,24,24,76
2016-04-30,0.20000000000000007,0.0003000000000000001,20,20,80
2016-05-31,0.2,0.00030000000000000003,20,20,80
2016-06-30,0.14999999999999994,0.0002249999999999999,15,15,85
2016-07-31,0.18,0.00027,18,18,82
2016-08-31,0.29000000000000004,0.00043500000000000006,29,29,71
