Date,Selection (raw),VolTargeting adj,Transaction Cost drag,Net
2006-04-21,2.7514837453318974,1.4791808940142208,-0.02715,1.5063308940142208
2006-04-24,2.735888265661822,1.4729267973482991,-0.02715,1.5000767973482991
2006-04-25,2.6927612106582393,1.455082621761751,-0.02715,1.482232621761751
2006-04-26,2.664548805066938,1.443668590747916,-0.02715,1.470818590747916
2006-04-27,2.66042221756547,1.4419940009276262,-0.02715,1.4691440009276262
2006-04-28,2.69888170831943,1.458956365509326,-0.02733,1.4862863655093261
2006-05-01,2.704124280840356,1.4612216960851678,-0.02733,1.488551696085168
2006-05-02,2.7312651689571306,1.472960634900975,-0.02733,1.500290634900975
2006-05-03,2.7283487079820943,1.4717032691931755,-0.02733,1.4990332691931756
2006-05-04,2.7635440163424683,1.4868643058265518,-0.02733,1.514194305826552
2006-05-05,2.804006645372951,1.504739768848713,-0.02733,1.532069768848713
2006-05-08,2.8044861543672908,1.504946028340417,-0.02733,1.532276028340417
2006-05-09,2.820561932155231,1.51242510212268,-0.02733,1.53975510212268
2006-05-10,2.830028576075854,1.516853265475861,-0.02733,1.5441832654758612
2006-05-11,2.721151152522988,1.4617012586078086,-0.02733,1.4890312586078087
2006-05-12,2.610626143316059,1.4183811663386168,-0.02733,1.4457111663386168
2006-05-15,2.5774377348992092,1.4073100039372601,-0.02733,1.4346400039372602
2006-05-16,2.570845243563596,1.405128828320322,-0.02733,1.4324588283203221
2006-05-17,2.468401356574423,1.3665873133574085,-0.02733,1.3939173133574085
2006-05-18,2.396747961260341,1.3411510702059966,-0.02733,1.3684810702059966
2006-05-19,2.440594464980423,1.3562036361307035,-0.02733,1.3835336361307036
2006-05-22,2.3628606225117195,1.3306435401947834,-0.02733,1.3579735401947834
2006-05-23,2.3572498259222643,1.3288576708404438,-0.02733,1.356187670840444
2006-05-24,2.3293378602077475,1.3199255024809493,-0.02733,1.3472555024809494
2006-05-25,2.437399723966735,1.3546420634170944,-0.02733,1.3819720634170944
2006-05-26,2.4579987370956973,1.3602389351839812,-0.02733,1.3875689351839813
2006-05-30,2.354853035025442,1.3320257310262003,-0.02733,1.3593557310262003
2006-05-31,2.3950185437715787,1.3425567745434308,-0.02757,1.370126774543431
2006-06-01,2.4572392383669777,1.3585604091202805,-0.02757,1.3861304091202806
2006-06-02,2.4645090826124822,1.3603343975606448,-0.02757,1.3879043975606449
2006-06-05,2.343655717465062,1.3305444739893821,-0.02757,1.3581144739893822
2006-06-06,2.3085854910924906,1.3221294327039712,-0.02757,1.3496994327039713
2006-06-07,2.245187787730056,1.3067787765104586,-0.02757,1.3343487765104587
2006-06-08,2.221274046649391,1.3009162800590248,-0.02757,1.328486280059025
2006-06-09,2.2208513610429765,1.3008112572622545,-0.02757,1.3283812572622546
2006-06-12,2.0896108406880582,1.2672397141071778,-0.02757,1.294809714107178
2006-06-13,2.0353561393568764,1.2536439524842087,-0.02757,1.2812139524842088
2006-06-14,2.095889147209219,1.2688873825665206,-0.02757,1.2964573825665207
2006-06-15,2.2489519295096616,1.3050925078227835,-0.02757,1.3326625078227836
2006-06-16,2.219298225464503,1.299170217875948,-0.02757,1.3267402178759482
2006-06-19,2.1383890647661,1.2826717182709113,-0.02757,1.3102417182709114
2006-06-20,2.1278118409840165,1.2804981663238717,-0.02757,1.3080681663238718
2006-06-21,2.218086379536352,1.2994309830369923,-0.02757,1.3270009830369924
2006-06-22,2.234655657541149,1.3026733415677794,-0.02757,1.3302433415677795
2006-06-23,2.2620513999731937,1.3080148004740968,-0.02757,1.335584800474097
2006-06-26,2.2848199180333277,1.312667873178261,-0.02757,1.3402378731782612
2006-06-27,2.2117583212450693,1.2978238997832432,-0.02757,1.3253938997832433
2006-06-28,2.231522196619244,1.301984226871511,-0.02757,1.329554226871511
2006-06-29,2.387039462894293,1.3348128447652696,-0.02757,1.3623828447652697
2006-06-30,2.4548363570339973,1.3473054840129635,-0.027870000000000002,1.3751754840129635
2006-07-03,2.4883602819753876,1.3532853865963168,-0.027870000000000002,1.3811553865963169
2006-07-05,2.433814871469271,1.3430607380919803,-0.027870000000000002,1.3709307380919804
2006-07-06,2.430552342900873,1.342446844025475,-0.027870000000000002,1.3703168440254752
2006-07-07,2.3756099142942926,1.3318656655258914,-0.027870000000000002,1.3597356655258914
2006-07-10,2.3193670854275905,1.3210426854028734,-0.027870000000000002,1.3489126854028735
2006-07-11,2.366468433250372,1.3300643706687714,-0.027870000000000002,1.3579343706687714
2006-07-12,2.3137545450186403,1.3190905118921759,-0.027870000000000002,1.346960511892176
2006-07-13,2.2404411935747506,1.303587214880919,-0.027870000000000002,1.3314572148809192
2006-07-14,2.216106173960348,1.2984737585888944,-0.027870000000000002,1.3263437585888944
2006-07-17,2.1951285846224184,1.2933591900912567,-0.027870000000000002,1.3212291900912567
2006-07-18,2.193522259022436,1.292964716728073,-0.027870000000000002,1.320834716728073
2006-07-19,2.3115583404599738,1.3234632012918914,-0.027870000000000002,1.3513332012918915
2006-07-20,2.200412256467591,1.2977845539679103,-0.027870000000000002,1.3256545539679103
2006-07-21,2.124476635526906,1.2803911680402704,-0.027870000000000002,1.3082611680402705
2006-07-24,2.222115614224797,1.3024435624932993,-0.027870000000000002,1.3303135624932994
2006-07-25,2.196178624658813,1.2970105485540455,-0.027870000000000002,1.3248805485540456
2006-07-26,2.1525941725696716,1.287825155050479,-0.027870000000000002,1.315695155050479
2006-07-27,2.155419073614566,1.2884360898411602,-0.027870000000000002,1.3163060898411603
2006-07-28,2.2092842309098613,1.3001080689019644,-0.027870000000000002,1.3279780689019645
2006-07-31,2.2235698335873995,1.3036169498134216,-0.028110000000000003,1.3317269498134217
2006-08-01,2.1462746247495064,1.2839895437690005,-0.028110000000000003,1.3120995437690006
2006-08-02,2.164336337064444,1.2885755706634643,-0.028110000000000003,1.3166855706634644
2006-08-03,2.199946984969812,1.2975986405997677,-0.028110000000000003,1.3257086405997678
2006-08-04,2.1749289721301728,1.2914069537391746,-0.028110000000000003,1.3195169537391747
2006-08-07,2.1350930195752977,1.2813881080379441,-0.028110000000000003,1.3094981080379442
2006-08-08,2.0941787848112954,1.2709348717562206,-0.028110000000000003,1.2990448717562206
2006-08-09,2.049618285205549,1.2592559251241928,-0.028110000000000003,1.287365925124193
2006-08-10,2.0573530773308892,1.2613067603827628,-0.028110000000000003,1.2894167603827629
